Locatienaam,Locatie Type,Volledig Adres (Google Maps),Straat en Huisnummer,Postcode,Plaats,Contactpersoon,Telefoonnummer,E-mailadres,Gekoppeld Bedrijf,Adresstatus,Herkomst CMS
"de Beijerd","In-Company / Klantlocatie","Delft","","","Delft","Wim","","","Restaurant de Beijerd","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"De Kwartel","In-Company / Klantlocatie","De Kwartel","","","","","","","De Kwartel","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"De Markies","In-Company / Klantlocatie","De Markies","","","","","","","De Markies","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"De Notenkraker","In-Company / Klantlocatie","Eksterhof 2, 2496 HS Den Haag","Eksterhof 2","2496 HS","Den Haag","B. Swillens","","b.swillens@osbdenotenkraker.nl","Notenkraker","Adres Compleet","Edusafe Surlinio CMS"
"De Pier","In-Company / Klantlocatie","promonade","promonade","","","","","","De Pier","Alleen Straatnaam","Edusafe Surlinio CMS"
"De Uithof","In-Company / Klantlocatie","Jaap Edenweg 10","Jaap Edenweg 10","","","Linda Scheepmaker","","","De Uithof","Alleen Straatnaam","Edusafe Surlinio CMS"
"Delft","In-Company / Klantlocatie","Schieweg 15 L, 2627 AN Delft","Schieweg 15 L","2627 AN","Delft","Sander","","info@delftsbleau.nl","Bouldercentrum Delfts Bleau","Adres Compleet","Edusafe Surlinio CMS"
"Den Haag","In-Company / Klantlocatie","Haags Kwartier 55, 2491 BM Den Haag","Haags Kwartier 55","2491 BM","Den Haag","Sebas Angelovski","+31703054548","s.angelovski@adodenhaag.nl","Ado Den Haag","Adres Compleet","Edusafe Surlinio CMS"
"DRG Horeca","In-Company / Klantlocatie","Weena 202","Weena 202","","","Niels","","","DRG Horeca","Alleen Straatnaam","Edusafe Surlinio CMS"
"Dushi Huis","In-Company / Klantlocatie","Dushi Huis","","","","Marjolein Kalkers","","","Dushi Huis","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Dushi Huis, Nijmegen","In-Company / Klantlocatie","Dushi Huis, Nijmegen","","","","","","","Dushi Huis, Nijmegen","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Dushihuis Waalwijk","In-Company / Klantlocatie","Dushihuis Waalwijk","","","","","","","Dushihuis Waalwijk","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"E-Learning","In-Company / Klantlocatie","huis","huis","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Edubookers","In-Company / Klantlocatie","Edubookers","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Edusafe Leslocatie & Trainingscentrum","Vaste Trainingslocatie (Open Inschrijving)","Bridgestraat 8, 2491 EM Den Haag","Bridgestraat 8","2491 EM","Den Haag","Tanja Korving","+31703054548","info@edusafe.nl","Edusafe","Adres Compleet","Edusafe Surlinio CMS"
"Edusafe (Ambu)","Vaste Trainingslocatie (Open Inschrijving)","Bridgestraat 8","Bridgestraat 8","","","Tanja Korving","","","Edusafe","Alleen Straatnaam","Edusafe Surlinio CMS"
"Edusafe kantoor","Vaste Trainingslocatie (Open Inschrijving)","Bridgestraat 8","Bridgestraat 8","","","Tanja Korving","","","Edusafe","Alleen Straatnaam","Edusafe Surlinio CMS"
"EV Cargo Netherlands B.V.","In-Company / Klantlocatie","Marco Polostraat 22, Rotterdam","Marco Polostraat 22","","Rotterdam","","","","EV Cargo Netherlands B.V.","Adres Compleet","Edusafe Surlinio CMS"
"Event Plaza","In-Company / Klantlocatie","Rijswijk","","","Rijswijk","","","","Event Plaza","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"Golden Tulip Hotel Zoetermeer","Vaste Trainingslocatie (Open Inschrijving)","Kinderen van Versteegplein 18","Kinderen van Versteegplein 18","","","Maurice Brancart","","","Golden Tulip Hotel Zoetermeer","Alleen Straatnaam","Edusafe Surlinio CMS"
"Golden Tulip Noordwijk","Vaste Trainingslocatie (Open Inschrijving)","Kon. Wilhelmina Boulevard 8","Kon. Wilhelmina Boulevard 8","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Grand Café Roos","In-Company / Klantlocatie","Parklaan 4, 2771 GB Boskoop","Parklaan 4","2771 GB","Boskoop","Marlène Straathof","+31172766048","marlenestraathof@hotmail.com","Grand Café Roos","Adres Compleet","Edusafe Surlinio CMS"
"Granneman","In-Company / Klantlocatie","Veenpoldersweg 14, 2266 GA Leidschendam","Veenpoldersweg 14","2266 GA","Leidschendam","Leni Luiten","+31715803333","lluiten@granneman.nl","Granneman","Adres Compleet","Edusafe Surlinio CMS"
"Grote Kerk","In-Company / Klantlocatie","Grote Kerk","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Hanno","In-Company / Klantlocatie","Doelenplein 7, 2611 BP Delft","Doelenplein 7","2611 BP","Delft","K. Verhoeff","","","Hanno Groots Café","Adres Compleet","Edusafe Surlinio CMS"
"Happy Moose","In-Company / Klantlocatie","Lange Land 20","Lange Land 20","","","Berry Verhagen","+31654702484","","Happy Moose","Alleen Straatnaam","Edusafe Surlinio CMS"
"Het Gastenhuis Leusden","In-Company / Klantlocatie","Karel Brouwerhof 26, 3832 LL Leusden","Karel Brouwerhof 26","3832 LL","Leusden","Dennis","+31657573486","leusden@hetgastenhuis.nl","Het Gastenhuis Leusden","Adres Compleet","Edusafe Surlinio CMS"
"Het Lofthuis","In-Company / Klantlocatie","Kabeldistrict 15F","Kabeldistrict 15F","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Het Paard van Troje","In-Company / Klantlocatie","Prinsegracht 12, 2512 GA Den Haag","Prinsegracht 12","2512 GA","Den Haag","Elsa Blaauboer","+31707503434","","Het Paard van Troje","Adres Compleet","Edusafe Surlinio CMS"
"Het Trefpunt","In-Company / Klantlocatie","S. v. Drielstraat 4","S. v. Drielstraat 4","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Highberg","In-Company / Klantlocatie","Highberg","","","","","","","Highberg","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Hipper","In-Company / Klantlocatie","Torenstraat","Torenstraat","","","","","","Hipper","Alleen Straatnaam","Edusafe Surlinio CMS"
"Hotel Bijhorst","In-Company / Klantlocatie","Zijdeweg 54","Zijdeweg 54","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Hudson","In-Company / Klantlocatie","Hudson","","","","","","","Hudson","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Huuralarm","In-Company / Klantlocatie","Oude Middenweg 223, 2491 AG Den Haag","Oude Middenweg 223","2491 AG","Den Haag","Johan Greuter","+31703276707","greuter@huuralarm.nl","Huuralarm","Adres Compleet","Edusafe Surlinio CMS"
"Inge de Bruijn Zwembad","In-Company / Klantlocatie","Inge de Bruijn Zwembad","","","","","","","Inge de Bruijn Zwembad","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Innova Energie B.V.","In-Company / Klantlocatie","Oude Middenweg 75, 2491 AC Den Haag","Oude Middenweg 75","2491 AC","Den Haag","Romano","+31703016628","info@innovaenergie.nl","Innova energie","Adres Compleet","Edusafe Surlinio CMS"
"Juliana Plaza","In-Company / Klantlocatie","Juliana Plaza","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Jumbo","In-Company / Klantlocatie","Alphons Diepenbrockhof, Alphons Diepenbrockhof","Alphons Diepenbrockhof","","Alphons Diepenbrockhof","Patrick Bosch","","","Jumbo","Adres Compleet","Edusafe Surlinio CMS"
"Junis (Da Vinci)","In-Company / Klantlocatie","Spitsbergen 17","Spitsbergen 17","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis (De Tjalk)","In-Company / Klantlocatie","Kadelaan 210,","Kadelaan 210,","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis (de Toverberg)","In-Company / Klantlocatie","Toverberg 3-4,","Toverberg 3-4,","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis (Klimboom)","In-Company / Klantlocatie","Nesciohove 105","Nesciohove 105","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis (Noordeinde)","In-Company / Klantlocatie","Bijvoetplan 43-45","Bijvoetplan 43-45","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis Benthuizen","In-Company / Klantlocatie","Korenmolen","Korenmolen","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Junis Hoofdkantoor","In-Company / Klantlocatie","Junis Hoofdkantoor","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Ieniminie","In-Company / Klantlocatie","Bijdorplaan 321, 2713 SX Zoetermeer","Bijdorplaan 321","2713 SX","Zoetermeer","Marjan Hendriks","+31793410777","info@ienimini.nl","Ienimini","Adres Compleet","Edusafe Surlinio CMS"
"Junis Korenmolen","In-Company / Klantlocatie","Junis Korenmolen","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Locatie Prins Claus","In-Company / Klantlocatie","Junis Locatie Prins Claus","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Oosterheem","In-Company / Klantlocatie","Junis Oosterheem","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Passe Partout","In-Company / Klantlocatie","Junis Passe Partout","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Prins Floris","In-Company / Klantlocatie","Junis Prins Floris","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Speelboerderij belvederebos","In-Company / Klantlocatie","Junis Speelboerderij belvederebos","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Junis Watertoren","In-Company / Klantlocatie","Junis Watertoren","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Kaai 13","In-Company / Klantlocatie","Kaai 13","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Kar Holding","In-Company / Klantlocatie","Ruhr 9-11, 2491 CX Den Haag","Ruhr 9-11","2491 CX","Den Haag","M. O. Dingol","+31702206509","info@dingol.nl","Karholding B.V.","Adres Compleet","Edusafe Surlinio CMS"
"Kasteel de Hooge Vuursche","In-Company / Klantlocatie","Hilversumsestraatweg 14, 3744 KC Baarn","Hilversumsestraatweg 14","3744 KC","Baarn","Sandra Put","+31355412541","put@eventcompany.nl","Kasteel de Hooge Vuursche","Adres Compleet","Edusafe Surlinio CMS"
"KC Balans","In-Company / Klantlocatie","KC Balans","","","","","","","KC Balans","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Kerstmanspecialist","In-Company / Klantlocatie","Metaalweg 4, 3751 LS Bunschoten-Spakenburg","Metaalweg 4","3751 LS","Bunschoten-Spakenburg","Dashell Versteeg","+31332474013","dashell@kerstmanspecialist.nl","Kerstmanspecialist","Adres Compleet","Edusafe Surlinio CMS"
"KHN Zuid Holland (Hotel Den haag-Wassenaar)","In-Company / Klantlocatie","Zijdeweg 54","Zijdeweg 54","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Kistos","In-Company / Klantlocatie","Schenkkade","Schenkkade","","","","","","Kistos","Alleen Straatnaam","Edusafe Surlinio CMS"
"Krinkels","In-Company / Klantlocatie","Klopperman 4c, 2292 JD Wateringen","Klopperman 4c","2292 JD","Wateringen","Edwin van der Meij","+31174700201","","Krinkels","Adres Compleet","Edusafe Surlinio CMS"
"Lamboo","In-Company / Klantlocatie","Koperstraat 40","Koperstraat 40","","","","","","Lamboo","Alleen Straatnaam","Edusafe Surlinio CMS"
"Landgoed te Werve","In-Company / Klantlocatie","v. Vredenburchweg 101, 2283 TC Rijswijk (Z-H)","v. Vredenburchweg 101","2283 TC","Rijswijk (Z-H)","Sandra Put","+31704152185","put@eventcompany.nl","Landgoed te Werve ( Event Company)","Adres Compleet","Edusafe Surlinio CMS"
"Mankr8","In-Company / Klantlocatie","Bergveste 2E","Bergveste 2E","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Martijn van Bakkum","In-Company / Klantlocatie","Martijn van Bakkum","","","","Martijn","","","Martijn van Bakkum","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Mensen met een Missie","In-Company / Klantlocatie","Bezuidenhoutseweg 225, 2594 AL Den Haag","Bezuidenhoutseweg 225","2594 AL","Den Haag","Sian Ang","+31651730817","sianang@mensenmeteenmissie.nl","Mensen met een missie","Adres Compleet","Edusafe Surlinio CMS"
"Menskracht 7","In-Company / Klantlocatie","Helenastraat 15","Helenastraat 15","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Minters","In-Company / Klantlocatie","Burgemeester Van Lierplein 51, 3134 ZB Vlaardingen","Burgemeester Van Lierplein 51","3134 ZB","Vlaardingen","Helen Kolthof","","","Minters","Adres Compleet","Edusafe Surlinio CMS"
"Montaigne Lyceum","In-Company / Klantlocatie","Kiekendiefstraat 25, 2496 RP Den Haag","Kiekendiefstraat 25","2496 RP","Den Haag","Peter Ong","+31153619140","","Montaigne Lyceum","Adres Compleet","Edusafe Surlinio CMS"
"My Horeca","In-Company / Klantlocatie","Prinsegracht 40, Den Haag","Prinsegracht 40","","Den Haag","Marc van Hogerlinden","","","My Horeca","Adres Compleet","Edusafe Surlinio CMS"
"Möller autoschade","In-Company / Klantlocatie","Frobenstraat 17B","Frobenstraat 17B","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Naaldwijk","In-Company / Klantlocatie","Naaldwijk","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"new life living","In-Company / Klantlocatie","new life living","","","","Raymond Veenman","","","New Life Living","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"NFGD","In-Company / Klantlocatie","Koraalrood 48, 2718 SC Zoetermeer","Koraalrood 48","2718 SC","Zoetermeer","Leonie Visschedijk","+31793031803","lvisschedijk@nfgd.nl","NFGD Zoetermeer B.V.","Adres Compleet","Edusafe Surlinio CMS"
"NH Atlantic (Kijkduin)","In-Company / Klantlocatie","Deltaplein 200","Deltaplein 200","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"NH Hotel Capelle","In-Company / Klantlocatie","Barbizonlaan 2","Barbizonlaan 2","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"NIBHV","In-Company / Klantlocatie","Hoofdweg 240","Hoofdweg 240","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Nog niet ontvangen","In-Company / Klantlocatie","Nog niet ontvangen","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Noordhoven samen","In-Company / Klantlocatie","Sullivanlijn 31","Sullivanlijn 31","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"OBS DE Tweemaster","In-Company / Klantlocatie","OBS DE Tweemaster","","","","","","","OBS de Tweemaster","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Ortec","In-Company / Klantlocatie","Houtsingel 15, 2719 EA Zoetermeer","Houtsingel 15","2719 EA","Zoetermeer","Melanie de Stigter","+31886783265","melanie.destigter@ortec.com","Ortec","Adres Compleet","Edusafe Surlinio CMS"
"P. Oosterleeschool","In-Company / Klantlocatie","P. Oosterleeschool","","","","Willem Maas","","","P. Oosterleeschool","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Pannekoe","In-Company / Klantlocatie","Pannekoe","","","","","","","Pannekoe","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Picasso Lyceum","In-Company / Klantlocatie","Zoetermeer","","","Zoetermeer","","","","Picasso Lyceum","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"Regiebouw","In-Company / Klantlocatie","Alpen a/d Rijn","","","Alpen a/d Rijn","Henriette Spruit","","","Regiebouw","Alleen Plaatsnaam","Edusafe Surlinio CMS"
"Restaurant het Wolthuis","In-Company / Klantlocatie","Wouwsestraatweg 146, 4623 AS Bergen op Zoom","Wouwsestraatweg 146","4623 AS","Bergen op Zoom","Judith Verdult","","info@restauranthetwolthuis.nl","Restaurant het Wolthuis","Adres Compleet","Edusafe Surlinio CMS"
"Restaurant Tijsterman","In-Company / Klantlocatie","Restaurant Tijsterman","","","","","","","Restaurant Tijsterman","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Revolt Climbing","In-Company / Klantlocatie","Kleveringweg 35, 2616 LZ Delft","Kleveringweg 35","2616 LZ","Delft","Nathalie Brouwenstijn","","","Revolt Climbing","Adres Compleet","Edusafe Surlinio CMS"
"Rijswijk","In-Company / Klantlocatie","Rijswijk","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Rotterdam","In-Company / Klantlocatie","Rotterdam","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Salon van Fagel","In-Company / Klantlocatie","Noordeinde 140C, 2514 GP Den Haag","Noordeinde 140C","2514 GP","Den Haag","Justus","","","De salon van Fagel","Adres Compleet","Edusafe Surlinio CMS"
"Scarlatti","In-Company / Klantlocatie","Stille Mare 4, 2312 DH Leiden","Stille Mare 4","2312 DH","Leiden","Eva Heemskerk","+31715122114","eva@scarlatti.nl","Scarlatti","Adres Compleet","Edusafe Surlinio CMS"
"Sisters Beach","In-Company / Klantlocatie","Sisters Beach","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Sportcentrum Parkzoom (Zuidplas)","In-Company / Klantlocatie","Sportcentrum Parkzoom (Zuidplas)","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Sportfondsen","In-Company / Klantlocatie","R. Wagnerlaan 85","R. Wagnerlaan 85","","","","","","Sportfondsen","Alleen Straatnaam","Edusafe Surlinio CMS"
"Sportfondsen Delft","In-Company / Klantlocatie","Brasserskade  77","Brasserskade  77","","","","","","Sportfondsen Delft","Alleen Straatnaam","Edusafe Surlinio CMS"
"Sportfondsen Oostelijk","In-Company / Klantlocatie","Sportfondsen Oostelijk","","","","","","","Sportfondsen","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Sportfondsen Oostervant","In-Company / Klantlocatie","Sportfondsen Oostervant","","","","","","","Sportfondsen Oostervant","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"SRK Rechtsbijstand B.V.","In-Company / Klantlocatie","Oude Middenweg 17, 2491 AC Den Haag","Oude Middenweg 17","2491 AC","Den Haag","Gaby Kuipers","+31880188433","gaby.kuipers@srkrechtsbijstand.nl","SRK rechtsbijstand","Adres Compleet","Edusafe Surlinio CMS"
"Starcuisine","In-Company / Klantlocatie","van Gijnstraat 25, 2288 GB Rijswijk (Z-H)","van Gijnstraat 25","2288 GB","Rijswijk (Z-H)","Francine van Limborgh","+31703628702","f.vanlimborgh@starcuisine.nl","Starcuisine","Adres Compleet","Edusafe Surlinio CMS"
"Starlightcare","In-Company / Klantlocatie","Starlightcare","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Stichting Zalencentra Westland","In-Company / Klantlocatie","Koningin Julianaweg 91","Koningin Julianaweg 91","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Surf en Beach","In-Company / Klantlocatie","Boulevard Zeezijde 9","Boulevard Zeezijde 9","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"The British school","In-Company / Klantlocatie","Anthonie van Dijckstraat 1, 1077 ME Amsterdam","Anthonie van Dijckstraat 1","1077 ME","Amsterdam","Carolien Arents","+31206797840","c.arents@britams.nl","The British school","Adres Compleet","Edusafe Surlinio CMS"
"The New Farm","In-Company / Klantlocatie","Televisiestraat 2b","Televisiestraat 2b","","","Tanja Bernsten","","","The New Farm","Alleen Straatnaam","Edusafe Surlinio CMS"
"Tuincentrum Rokkeveen","In-Company / Klantlocatie","Tuincentrum Rokkeveen","","","","","","","Tuincentrum Rokkeveen","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Two Brothers Hotel Astoria","In-Company / Klantlocatie","Emmaweg 13","Emmaweg 13","","","","","","Astoria","Alleen Straatnaam","Edusafe Surlinio CMS"
"Van der Valk Hotel Ridderkerk","In-Company / Klantlocatie","Krommeweg 1","Krommeweg 1","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"VCA NIBHV Badhoevedorp","In-Company / Klantlocatie","Sloterweg 527","Sloterweg 527","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"VGM box","In-Company / Klantlocatie","diversen","diversen","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Vierstroom","In-Company / Klantlocatie","Vierstroom","","","","","","","Vierstroom","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"VOF Gasterij Vergeer","In-Company / Klantlocatie","Dorpsweg 32","Dorpsweg 32","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Vrijenban","In-Company / Klantlocatie","Rotterdamseweg 376, 2629 HG Delft","Rotterdamseweg 376","2629 HG","Delft","Bas Aalbers","","info@vrijeban.nl","Vrijenban","Adres Compleet","Edusafe Surlinio CMS"
"VVS Katwijk","In-Company / Klantlocatie","VVS Katwijk","","","","Nicoline Schuitemaker","","","V. V. S. Katwijk","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Werelds (horeca)","In-Company / Klantlocatie","Bierkade 16","Bierkade 16","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"Westcord Hotel","In-Company / Klantlocatie","Westcord Hotel","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
"Woonzorgcentrum","In-Company / Klantlocatie","'s-Gravenweg 325","'s-Gravenweg 325","","","","","","","Alleen Straatnaam","Edusafe Surlinio CMS"
"World Forum The Hague","In-Company / Klantlocatie","Churchillplein 10, 2517 JW Den Haag","Churchillplein 10","2517 JW","Den Haag","Leonie de Ridder","+31703066366","leonie.deridder@worldforum.nl","World Forum","Adres Compleet","Edusafe Surlinio CMS"
"Zevenkampse ring","In-Company / Klantlocatie","Zevenkampse ring","","","","","","","","Adres Onbekend (Historisch)","Edusafe Surlinio CMS"
