Company Name,Billing Contact Person,Billing Email,Billing Phone,Billing Street Address,Billing Postal Code,Billing City,Billing Notes,Bedrijf Notities
"Bouldercentrum Delfts Bleau","Sander en Jolanda","info@delftsbleau.nl","","Schieweg 15 L","2627 AN","Delft","",""
"Bourgonje geluid en lichtservice B.V.","F.Bourgonje","secretariaat@bourgonje.nl","+31703177179","Bleiswijkseweg 39","2712 PB","Zoetermeer","",""
"Braber gassen","Triep","","","","","","",""
"Brunel","","","","","","","",""
"C-Sec","","","","","","","",""
"Café 't Centrum","","","","","","Berkel en Rodenrijs","",""
"Canon Medical Europe","","","","","","","",""
"Centramed","Auke van der Wal","","","","","","",""
"Christelijke Kinderopvang BijMarij","Marije Westmaas","info@kinderopvangbijmarij.nl","","Willem-Alexanderplantsoen 1","2713 VM","Zoetermeer","",""
"Cliq Offices","","","","","","","",""
"CO. beachclub","","","","","","","",""
"DAS Nederlandse Rechtsbijstand Verzekeringsmaatschappij N.V.","","facturen@das.nl","+31793303204","Houtsingel, 19","2719 EA","Zoetermeer","Projectcode: P500346 graag op de factuur vermelden",""
"DC-Beheer B.V.  Brandveiligheid & Advies","Peter Oord","peter.oord@dc-beheer.nl","+31631900287","Cyclotronweg 67","2629 HN","Delft","",""
"De Beierd","","","","","","Delft","",""
"De Drie Ballonnen ( Junis)","Locatie: De Drie Ballonnen","","+31172424824","Postbus 499","2400 AL","Alphen aan den Rijn","","Bereikbaar op ma t/m vr van 8.30 tot 12.30"
"De Gracht","Jerry Johansson","info@kaai-13.nl","+31702505860","","","","Zijn meerdere horecagelegenheden die samen BHV doen.","Zijn meerdere horecagelegenheden die samen BHV doen."
"de Jong Glas en Gevel","Simon","","","","","","",""
"De Kwartel","","","","","","","",""
"de Maas BV","Claudia Schuring","c.schuring@demaasbv.nl","+31104196530","Molenvliet 51","3335 LH","Zwijndrecht","",""
"De Markies","","","","","","","",""
"De Pier","","","","","","","",""
"De salon van Fagel","Justus","","","Noordeinde 140C","2514 GP","Den Haag","",""
"De Uithof","Linda Scheepmaker","","","","","","",""
"De Wijnboutique","","","","","","","",""
"DRG Horeca","Niels","","","","","","",""
"Dushi Huis","Marjolein Kalkers","","","","","","",""
"Dushi Huis Dordrecht","","","","","","","",""
"Dushi Huis, Nijmegen","","","","","","","",""
"Dushi Huis, Spankeren","","","","","","Spankeren","",""
"Dushihuis Waalwijk","","","","","","","",""
"Edusafe","Tanja Korving","","","Bridgestraat 8","2492 WC","Den Haag","",""
"Elan","","","","","","","",""
"Emburse","Maria Solomonidou","","","","","","",""
"Energy Solutions","S.N. Blanken","s.blanken@ensol.nl","+31157505460","Ampereweg 27","2627 BG","DELFT","",""
"EV Cargo Netherlands B.V.","","","","","","Rotterdam","",""
"Event Plaza","","","","","","Rijswijk","",""
"Evorsa","","","","","","","zit bij de Uithof in","zit bij de Uithof in"
"FEBO","","","","","","","",""
"Flashback","","","","","","","",""
"Fröling Schoonmaak / Glazenwasseri","B. Fröling","","+31174270529","Dr. Ter Haarlaan 21","2685 RX","Poeldijk","",""
"Gelagh","","","","","","","",""
"Gemeente Den Haag","Nadia Elazizi","nadia.elazizi@denhaag.nl","","","2500 DK","Den Haag","Factuur mailen naar nadia.elazizi@denhaag.nl","Factuur mailen naar nadia.elazizi@denhaag.nl"
"Gemeente Leiden","Simone van der Kaaij","","+31715818585","le Pooleweg 11","2314 XT","Leiden","",""
"Golden Tulip Hotel Noordwijk","Maurice Brancart","m.brancart@goldentulipzoetermeercentre.nl","+31793203160","Kon. Wilhelmina Boulevard 8","2202 GS","Noordwijk","",""
"Golden Tulip Hotel Zoetermeer","Maurice Brancart","","","","","","",""
"Grand Café Roos","Marlène Straathof","marlenestraathof@hotmail.com","+31172766048","Parklaan 4","2771 GB","Boskoop","Factuurgegevens nog niet bekend.","Factuurgegevens nog niet bekend. - De training is in twee avonden gegeven  - 1e avond: 1 groep EH basis en 1 groep BO herhaling - 2e avond: 1 groep BO basis en 1 groep EH herhaling  (5 personen hebben alleen aan de tweede avond deelgenomen, dus die hebben maar voor 1 onderdeel een pas gekregen)"
"Granneman","Leni Luiten","lluiten@granneman.nl","+31715803333","Veenpoldersweg 14","2266 GA","Leidschendam","",""
"Hanno Groots Café","K. Verhoeff","","","Doelenplein 7","2611 BP","Delft","",""
"Happy Moose","Berry Verhagen","","+31654702484","","","","",""
"HCC beveiliging","Charlotte van Rijn","","","de Werf 7D","2544 EH","Den Haag","",""
"Henneken","Lauwrence de Jong","lauwrens.de.jong@henneken.nl","+31793611368","Goudstraat 51","2718 RD","Zoetermeer","",""
"Het Gastenhuis Leusden","Dennis en Wendy","leusden@hetgastenhuis.nl","+31657573486","Karel Brouwerhof 26","3832 LL","Leusden","",""
"Het Paard van Troje","Elsa Blaauboer","","+31707503434","Prinsegracht 12","2512 GA","Den Haag","",""
"Highberg","","","","","","","",""
"Hipper","","","","","","","",""
"Hofstad Distributie","","","","Badhuisstraat 9","2584 HD","Den Haag","",""
"Hofstad Security","Cees Hofland","","","Nieboerweg 1","2583 JT","Den Haag","",""
"Hoofdwacht","","","","","","","",""
"Hudson","","","","","","","",""
"Huuralarm","Johan Greuter","greuter@huuralarm.nl","+31703276707","Oude Middenweg 223","2491 AG","Den Haag","",""
"Ienimini","Marjan Hendriks","info@ienimini.nl","+31793410777","Bijdorplaan 321","2713 SX","Zoetermeer","",""
"Inge de Bruijn Zwembad","","","","","","","",""
"Innova energie","S.Kuypers","s.kuypers@innovaenergie.nl","+31703016628","Oude Middenweg 75","2491 AC","Den Haag","",""
"iQ Coaching Nancy Heim","mevrouw N.R.Heim","","","Alphons Diepenbrockhof 21","2551 KG","Den Haag","",""
"its4Sure","","","","","","","",""
"Jumbo","Patrick Bosch","","","Alphons Diepenbrockhof","","","",""
"Karholding B.V.","M. O. Dingol","info@dingol.nl","+31702206509","Ruhr 9-11","2491 CX","Den Haag","",""
"Kasteel de Hooge Vuursche","Sandra Put","put@eventcompany.nl","+31355412541","Hilversumsestraatweg 14","3744 KC","Baarn","Klantnummer 347 in Exact.","Klantnummer 347 in Exact."
"Kasterop","M. Ceha","","","","","","",""
"KC Balans","","","","","","","",""
"Kerstmanspecialist","Dashell Versteeg","dashell@kerstmanspecialist.nl","+31332474013","Metaalweg 4","3751 LS","Bunschoten-Spakenburg","",""
"KHN Arjan","via Shauna","","","","","","",""
"KHN Gorinchem","","","","","","","",""
"KHN Nieuwkoop (Wilma)","Wilma van der Meulen","wilmavandermeulen@msn.com","+31640351588","Zuideinde 31","2492 AA","Nieuwkoop","Tijdstip cursussen 9.00-16.30!","Tijdstip cursussen 9.00-16.30!"
"KHN Zuid Holland (Shauna)","Shauna Lehmann","s.lehmann@khn.nl","+31348489461","Pelmolenlaan 10","3440 AN","Woerden","",""
"Kinderopvang Liefjes Tante Suus","","","","","","","",""
"Kistos","","","","","","","",""
"Kozijn Service Nederland","Els Verheij","els@kozijnservicenederland.nl","","Waalsdorperlaan 22c","2244 BN","Wassenaar","",""
"Kreativ Events","","","","","","","",""
"Krinkels","Edwin van der Meij","","+31174700201","Klopperman 4c","2292 JD","Wateringen","","Edusafe pas"
"Lamboo","","","","","","","",""
"Lamboo Medical","Kees Verhage","","","","","","",""
"Landgoed te Werve ( Event Company)","Sandra Put","put@eventcompany.nl","+31704152185","v. Vredenburchweg 101","2283 TC","Rijswijk (Z-H)","Klantnummer 348 in Exact","Klantnummer 348 in Exact"
"Lensink Transport","Paul Lensink","","","","","","",""
"Logis Dienstverlening","","","","","","","",""
"Malle Molen","","","","","","","",""
"Martijn van Bakkum","Martijn","","","","","","",""
"Mensen met een missie","Sian Ang","sianang@mensenmeteenmissie.nl","+31651730817","Bezuidenhoutseweg 225","2594 AL","Den Haag","",""
"Minters","Helen Kolthof","","","Wijkcentrum West, Prof. Teldersstraat 10","","Vlaardingen","Locatie waar les gegeven wordt  - Kantooradres is anders","Dit adres stond al in CMS: Wijkcentrum West, Prof. Teldersstraat 10 , Vlaardingen"
"Montaigne Lyceum","Afdeling F&A","digifactuur@lucasonderwijs.nl","","Postbus 93231","2509 AE","Den Haag","Relatie 13 in Exact.",""
"Mulders Cleaning","Jessica","jessica@mulderscleaning.nl","+31172232155","Flemingweg 18p","2408 AV","Alphen aan den Rijn","",""
"MvD Beveiliging Services","","","","","","","",""
"My Horeca","Marc van Hogerlinden","","","Prinsegracht 40","","Den Haag","",""
"Möller Centrale Diensten B.V.","Jeroen Noyen","jeroen@moller-autoschade.nl","+31102854444","Postbus 37108","3005 LC","Rotterdam","",""
"New Life Living","Raymond Veenman","","","","","","",""
"NFGD Zoetermeer B.V.","P. Rundberg","facturen@nfgd.nl","+31793611299","Koraalrood 48","2718 SC","Zoetermeer","",""
"Nintec B.V.","Elisabeth Fassler","elisabeth.fassler@nintec.com","+31793200980","Maria Montessorilaan 5","2719 DB","Zoetermeer","",""
"Notenkraker","M. Lange","info@obsdenotenkraker.nl","+31153106060","Eksterhof 2","2496 HS","","",""
"Number 5 Foundation","","","","","","","",""
"OBS de Tweemaster","","","","","","","",""
"Ontwerpstudio DUNC","G. van Leeuwen","all@dunc.nl","+31715190255","Rijngeesterstraatweg 58B","2341 BV","Oegstgeest","",""
"Opti Forma B.V.","Marianne Nugteren","marianne@optiformabv.nl","+31703373445","Rodelaan1","2272","Voorburg","",""
"Ortec","","crediteuren@ortec.com","","","","","","Doen op op 19 april 2020 alleen E-Learning via het NIBHV!"
"P. Oosterleeschool","Willem Maas","","","","","","",""
"Pannekoe","","","","","","","",""
"Particulier","","","","","","","",""
"Picasso Lyceum","","","","","","Zoetermeer","",""
"Plein 14","","","","","","","",""
"ProIn security","Alexander van Berkel","","","Overgoo","2266 JZ","Leidschendam","",""
"Promotie Zoetermeer","M. Haars","info@promotiezoetermeer.nl","","Postbus 7280","2701 AG","Zoetermeer","",""
"Pub10","","","","","","","",""
"Raymar Knitting","Raymond Trouwborst","info@raymar.nl","+31174220889","Stoelmatter 9","2292 JM","Wateringen","",""
"Regiebouw","Henriette Spruit","","","","","Alpen a/d Rijn","",""
"Restaurant de Beijerd","Wim","","","","","Delft","",""
"Restaurant het Wolthuis","Judith Verdult","info@restauranthetwolthuis.nl","","Wouwsestraatweg 146","4623 AS","Bergen op Zoom","[Factuur Telefoon uit oud CMS: +3116412345678]","[Telefoon uit oud CMS: +3116412345678]"
"Restaurant Tijsterman","","","","","","","",""
"Revolt Climbing","Nathalie Brouwenstijn","","","Kleveringweg 35","2616 LZ","Delft","",""
"RG interieur","Peter Korbijn","info@rginterieur.nl","+31647957975","Wattstraat 19B","2723 RA","ZOETERMEER","",""
"Rhythm","","","","","","","Ortec","Ortec"
"Scarlatti","Eva Heemskerk","eva@scarlatti.nl","+31715122114","Stille Mare 4","2312 DH","Leiden","Staat in Exact onder de la Soul.","Staat in Exact onder de la Soul."
"SCOH de Meerpaal","","","","","","","",""
"Servier Nederland Farma B.V.","","marie-jose.horstman@servier.com","+31715246700","Kanaalpark 140","2321 JV","Leiden","NIBHV 690525102",""
"SG onderhoud","Stef Groenendijk","","","Ambachtshof 34","2632 BB","Nootdorp","",""
"SimStudio","","","","","","","",""
"Smaecktheater Paul","Paul Hoogendoorn","","","","","Den Haag","",""
"SpoedPCR test","Wahiba Boulakhrif","","","","","","",""
"Sportfondsen","","","","","","","",""
"Sportfondsen Delft","","","","","","","",""
"Sportfondsen Oostervant","","","","","","","",""
"Sportfondsen Wassenaar","","","","","","Wassenaar","",""
"Sportstichting Zuidplas,","","","","Iersestraat 15","2912 TH","Nieuwerkerk aan den IJssel","",""
"SRK rechtsbijstand","Gaby Kuipers","gaby.kuipers@srkrechtsbijstand.nl","+31880188433","Oude Middenweg 17","2491 AC","Den Haag","",""
"Starcuisine","Francine van Limborgh","f.vanlimborgh@starcuisine.nl","+31703628702","van Gijnstraat 25","2288 GB","Rijswijk (Z-H)","",""
"Stichting De Inzet","","","","","","","",""
"Stichting Duivenvoorde","C. Kramer-Roso","ck@stichting-duivenvoorde.nl","+31702199300","Jan Pieterz Coenstraat 7","2595 WP","Den Haag","",""
"Stichting Gelijkwaardig Herstel","","","","","","","",""
"Strandpaviljoen de Kwartel","","","","","","","",""
"Surlinio","Bas Broekarts","bas@surlinio.com","","Dr. Lelykade 22A","2583 CM","Den Haag","[Factuur Telefoon uit oud CMS: 07041617156]","[Telefoon uit oud CMS: 07041617156]"
"Tend","Joey en Max","","","Taag 77","2491 CS","Den Haag","",""
"testlocatie","","","","","","","",""
"The British school","R.Russo-Fouri","c.arents@britams.nl","+31206797840","Anthonie van Dijckstraat 1","1077 ME","Amsterdam","",""
"The New Farm","Tanja Bernsten","","","","","","",""
"Thuismakers BV","","","","","","","",""
"Topkapel","","","","","","","",""
"Trigono Capital B.V.","","","","","","","",""
"Trios luchttechniek","","","","","","","",""
"TU Delft","Frits","","","Kabeldistrict","","","",""
"Tuincentrum Rokkeveen","","","","","","","",""
"Uyltje","","","","","","","",""
"V. V. S. Katwijk","Nicoline Schuitemaker","","","","","","",""
"Van Baarsen Buisleidingen B.V.","Ina Hoogeland","i.hoogeland@vbaarsen.nl","+31206596553","Sloterweg 321","1171 VC","Badhoevedorp","",""
"Van Dreumel Ramen en Deuren B.V.","","","","","","","",""
"Veenman Dakveiligheid","Edgar Veenman","","","","","","",""
"Venduehuis","Peter Meefout","p.meefout@venduehuis.com","+31703658857","Nobelstraat 5","2513 BC","Den Haag","",""
"Vierstroom","","","","","","","",""
"Viertaal, Cor Emous","","","","","","","",""
"Vrijenban","Bas Aalbers","info@vrijeban.nl","","Rotterdamseweg 376","2629 HG","Delft","",""
"Wilma van der Meulen","Wilma van der Meulen","wilmavandermeulen@msn.com","+31640351588","Zuideinde 31","2421 AA","Nieuwkoop","",""
"WiseMen Advocaten","","","","Dr. Kuyperstraat 11","2514 BA","DEN HAAG","",""
"World Forum","Leonie de Ridder","leonie.deridder@worldforum.nl","+31703066366","Churchillplein 10","2517 JW","Den Haag","",""
"YDL Dance Studios","","","","","","","",""
