Location Name,Street Address,Postal Code,City
"Lamboo","Koperstraat 40","2718RE","Zoetermeer"
"Landgoed te Werve","van Vredenburchweg 101","2283 TC","Rijswijk"
"Mankr8","Bergveste 2E","3992 DE","Houten"
"Martijn van Bakkum","","",""
"Mensen met een Missie","Bezuidenhoutseweg 225","2594AL","Den Haag"
"Menskracht 7","Helenastraat 15","2595 HA","Den Haag"
"Minters","Wijkcentrum West, Prof. Teldersstraat 10, Vlaardingen","","Vlaardingen"
"Montaigne Lyceum","Kiekendiefstraat 25","2496 RP","Den Haag"
"My Horeca","","","Den Haag"
"Möller autoschade","Frobenstraat 17B","3045 RD","Rotterdam"
"Naaldwijk","","",""
"new life living","","","den haag"
"NFGD","Koraalrood 48","2718 SC","Zoetermeer"
"NH Atlantic (Kijkduin)","Deltaplein 200","2554 EJ","Den Haag"
"NH Hotel Capelle","Barbizonlaan 2","2908 MA","Capelle a/d IJssel"
"NIBHV","Hoofdweg 240","3067 GJ","Rotterdam"
"Nog niet ontvangen","","",""
"Noordhoven samen","Sullivanlijn 31","","Zoetermeer"
"OBS DE Tweemaster","","","Scheveningen"
"Ortec","Houtsingel 5","2719 EA","Zoetermeer"
"P. Oosterleeschool","","","Den Haag"
"Pannekoe","","","Bleiswijk"
"Picasso Lyceum","","","Zoetermeer"
"Regiebouw","","","Alphen a/d Rijn"
"Restaurant het Wolthuis","Wouwsestraatweg 146","4623 AS","Bergen Op Zoom"
"Restaurant Tijsterman","","","Nieuwkoop"
"Revolt Climbing","","","Delft"
"Rijswijk","","","Rijswijk"
"Rotterdam","","","Rotterdam"
"Salon van Fagel","","","Den Haag"
"Scarlatti","","",""
"Sisters Beach","","","Katwijk"
"Sportcentrum Parkzoom (Zuidplas)","","","Nieuwerkerk aan den IJssel"
"Sportfondsen","R. Wagnerlaan 85","2253 CD","Voorschoten"
"Sportfondsen Delft","Brasserskade  77","","Delft"
"Sportfondsen Oostelijk","","","Rotterdam"
"Sportfondsen Oostervant","","","Rotterdam"
"SRK Rechtsbijstand B.V.","Oude Middenweg 17","2491 AC","Den Haag"
"Starcuisine","Aquamarijn 4","","Bleiswijk"
"Starlightcare","","","Naaldwijk"
"Stichting Zalencentra Westland","Koningin Julianaweg 91","2691GC","'s-Gravenzande"
"Surf en Beach","Boulevard Zeezijde 9","2225 BB","Katwijk aan Zee"
"The British school","Fred. Roeskestraat 94a","1076 ED","Amsterdam"
"The New Farm","Televisiestraat 2b","2525KD","Den Haag"
"Tuincentrum Rokkeveen","","","Zoetermeer"
"Two Brothers Hotel Astoria","Emmaweg 13","2202CP","Noordwijk"
"Van der Valk Hotel Ridderkerk","Krommeweg 1","2988 CB","Ridderkerk"
"VCA NIBHV Badhoevedorp","Sloterweg 527","1171 VG","Badhoevedorp"
"VGM box","diversen","",""
"Vierstroom","","","Zoetermeer"
"VOF Gasterij Vergeer","Dorpsweg 32","2811 KJ","Reeuwijk"
"Vrijenban","Rotterdamseweg 376","2629HG","Delft"
"VVS Katwijk","","",""
"Werelds (horeca)","Bierkade 16","2512 AB Den Haag","Den Haag"
"Westcord Hotel","","","Delft"
"Woonzorgcentrum","'s-Gravenweg 325","","Capelle a/d IJssel"
"World Forum The Hague","Churchillplein 10","2517 JW","Den Haag"
"Zevenkampse ring","","","Rotterdamm"
