Company Name,Primary Contact Person,Secondary Contact Person,Email,Phone,Street Address,Postal Code,City,Total Certified Students,Bedrijfstype,CMS Bedrijf ID,Source System
"Het Gastenhuis Leusden","Dennis","Wendy","leusden@hetgastenhuis.nl","+31657573486","Karel Brouwerhof 26","3832 LL","Leusden","29","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","83","Edusafe Surlinio CMS"
"Het Paard van Troje","Elsa Blaauboer","","","+31707503434","Prinsegracht 12","2512 GA","Den Haag","51","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","84","Edusafe Surlinio CMS"
"Highberg","","","","","","","","10","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","190","Edusafe Surlinio CMS"
"Hipper","","","","","","","","3","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","173","Edusafe Surlinio CMS"
"Hofstad Distributie","","","","","Badhuisstraat 9","2584 HD","Den Haag","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","69","Edusafe Surlinio CMS"
"Hofstad Security","Cees Hofland","","","","Nieboerweg 1","2583 JT","Den Haag","69","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","97","Edusafe Surlinio CMS"
"Hoofdwacht","","","","","","","","7","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","179","Edusafe Surlinio CMS"
"Hudson","","","","","","","","33","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","187","Edusafe Surlinio CMS"
"Huuralarm","Johan Greuter","","greuter@huuralarm.nl","+31703276707","Oude Middenweg 223","2491 AG","Den Haag","18","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","74","Edusafe Surlinio CMS"
"Ienimini","Marjan Hendriks","","info@ienimini.nl","+31793410777","Bijdorplaan 321","2713 SX","Zoetermeer","16","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","81","Edusafe Surlinio CMS"
"Inge de Bruijn Zwembad","","","","","","","","37","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","150","Edusafe Surlinio CMS"
"Innova energie","Romano","","info@innovaenergie.nl","+31703016628","Oude Middenweg 75","2491 AC","Den Haag","22","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","40","Edusafe Surlinio CMS"
"iQ Coaching Nancy Heim","mevrouw N.R.Heim","","","","Alphons Diepenbrockhof 21","2551 KG","Den Haag","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","34","Edusafe Surlinio CMS"
"its4Sure","","","","","","","","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","111","Edusafe Surlinio CMS"
"Jumbo","Patrick Bosch","","","","","","Alphons Diepenbrockhof","0","Zakelijke Klant, Bedrijf, Edusafe Oud CMS, Lead / Geen Cursisten","189","Edusafe Surlinio CMS"
"Karholding B.V.","M. O. Dingol","","info@dingol.nl","+31702206509","Ruhr 9-11","2491 CX","Den Haag","40","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","55","Edusafe Surlinio CMS"
"Kasteel de Hooge Vuursche","Sandra Put","","put@eventcompany.nl","+31355412541","Hilversumsestraatweg 14","3744 KC","Baarn","36","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","38","Edusafe Surlinio CMS"
"Kasterop","M. Ceha","","","","","","","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","119","Edusafe Surlinio CMS"
"KC Balans","","","","","","","","6","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","137","Edusafe Surlinio CMS"
"Kerstmanspecialist","Dashell Versteeg","","dashell@kerstmanspecialist.nl","+31332474013","Metaalweg 4","3751 LS","Bunschoten-Spakenburg","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","59","Edusafe Surlinio CMS"
"KHN Arjan","via Shauna","","","","","","","556","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","76","Edusafe Surlinio CMS"
"KHN Gorinchem","","","","","","","","4","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","159","Edusafe Surlinio CMS"
"KHN Nieuwkoop (Wilma)","Wilma van der Meulen","","wilmavandermeulen@msn.com","+31640351588","Zuideinde 31","2492 AA","Nieuwkoop","13","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","18","Edusafe Surlinio CMS"
"KHN Zuid Holland (Shauna)","Shauna Lehmann","","s.lehmann@khn.nl","+31348489461","Pelmolenlaan 10","3440 AN","Woerden","86","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","36","Edusafe Surlinio CMS"
"Kinderopvang Liefjes Tante Suus","","","","","","","","4","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","139","Edusafe Surlinio CMS"
"Kistos","","","","","","","","8","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","183","Edusafe Surlinio CMS"
"Kozijn Service Nederland","Els Verheij","","els@kozijnservicenederland.nl","","Waalsdorperlaan 22c","2244 BN","Wassenaar","10","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","73","Edusafe Surlinio CMS"
"Kreativ Events","","","","","","","","5","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","120","Edusafe Surlinio CMS"
"Krinkels","Edwin van der Meij","","","+31174700201","Klopperman 4c","2292 JD","Wateringen","48","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","50","Edusafe Surlinio CMS"
"Lamboo","","","","","","","","14","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","95","Edusafe Surlinio CMS"
"Lamboo Medical","Kees Verhage","","","","","","","12","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","170","Edusafe Surlinio CMS"
"Landgoed te Werve ( Event Company)","Sandra Put","","put@eventcompany.nl","+31704152185","v. Vredenburchweg 101","2283 TC","Rijswijk (Z-H)","24","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","37","Edusafe Surlinio CMS"
"Lensink Transport","Paul Lensink","","","","","","","3","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","108","Edusafe Surlinio CMS"
"Logis Dienstverlening","","","","","","","","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","86","Edusafe Surlinio CMS"
"Malle Molen","","","","","","","","4","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","176","Edusafe Surlinio CMS"
"Martijn van Bakkum","Martijn","","","","","","","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","145","Edusafe Surlinio CMS"
"Mensen met een missie","Sian Ang","","sianang@mensenmeteenmissie.nl","+31651730817","Bezuidenhoutseweg 225","2594 AL","Den Haag","6","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","70","Edusafe Surlinio CMS"
"Minters","Helen Kolthof","","","","Burgemeester Van Lierplein 51","3134 ZB","Vlaardingen","35","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","79","Edusafe Surlinio CMS"
"Montaigne Lyceum","Peter Ong","","","+31153619140","Kiekendiefstraat 25","2496 RP","Den Haag","59","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","33","Edusafe Surlinio CMS"
"Mulders Cleaning","Jessica","","jessica@mulderscleaning.nl","+31172232155","Flemingweg 18p","2408 AV","Alphen aan den Rijn","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","14","Edusafe Surlinio CMS"
"MvD Beveiliging Services","","","","","","","","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","136","Edusafe Surlinio CMS"
"My Horeca","Marc van Hogerlinden","","","","Prinsegracht 40","","Den Haag","11","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","166","Edusafe Surlinio CMS"
"Möller Centrale Diensten B.V.","Jeroen Noyen","","jeroen@moller-autoschade.nl","+31102854444","Postbus 37108","3005 LC","Rotterdam","27","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","35","Edusafe Surlinio CMS"
"New Life Living","Raymond Veenman","","","","","","","60","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","98","Edusafe Surlinio CMS"
"NFGD Zoetermeer B.V.","Leonie Visschedijk","","lvisschedijk@nfgd.nl","+31793031803","Koraalrood 48","2718 SC","Zoetermeer","52","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","24","Edusafe Surlinio CMS"
"Nintec B.V.","Elisabeth Fassler","","elisabeth.fassler@nintec.com","+31793200980","Maria Montessorilaan 5","2719 DB","Zoetermeer","0","Zakelijke Klant, Bedrijf, Edusafe Oud CMS, Lead / Geen Cursisten","54","Edusafe Surlinio CMS"
"Notenkraker","B. Swillens","","b.swillens@osbdenotenkraker.nl","","Eksterhof 2","2496 HS","Den Haag","12","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","16","Edusafe Surlinio CMS"
"Number 5 Foundation","","","","","","","","9","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","100","Edusafe Surlinio CMS"
"OBS de Tweemaster","","","","","","","","6","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","163","Edusafe Surlinio CMS"
"Ontwerpstudio DUNC","G. van Leeuwen","","all@dunc.nl","+31715190255","Rijngeesterstraatweg 58B","2341 BV","Oegstgeest","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","82","Edusafe Surlinio CMS"
"Opti Forma B.V.","Marianne Nugteren","","marianne@optiformabv.nl","+31703373445","Rodelaan1","2272","Voorburg","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","28","Edusafe Surlinio CMS"
"Ortec","Melanie de Stigter","","melanie.destigter@ortec.com","+31886783265","Houtsingel 15","2719 EA","Zoetermeer","51","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","47","Edusafe Surlinio CMS"
"P. Oosterleeschool","Willem Maas","","","","","","","20","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","109","Edusafe Surlinio CMS"
"Pannekoe","","","","","","","","54","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","191","Edusafe Surlinio CMS"
"Particulier","J. De Graaf","","jannes_deg@hotmail.com","+31645371950","Raamstraat 73","2613 RX","Delft","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","32","Edusafe Surlinio CMS"
"Picasso Lyceum","","","","","","","Zoetermeer","13","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","169","Edusafe Surlinio CMS"
"Plein 14","","","","","","","","3","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","124","Edusafe Surlinio CMS"
"ProIn security","Alexander van Berkel","","","","Overgoo","2266 JZ","Leidschendam","5","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","103","Edusafe Surlinio CMS"
"Promotie Zoetermeer","M. Haars","","info@promotiezoetermeer.nl","","Postbus 7280","2701 AG","Zoetermeer","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","45","Edusafe Surlinio CMS"
"Pub10","","","","","","","","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","177","Edusafe Surlinio CMS"
"Raymar Knitting","Raymond Trouwborst","","info@raymar.nl","+31174220889","Stoelmatter 9","2292 JM","Wateringen","3","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","65","Edusafe Surlinio CMS"
"Regiebouw","Henriette Spruit","","","","","","Alpen a/d Rijn","7","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","153","Edusafe Surlinio CMS"
"Restaurant de Beijerd","Wim","","","","","","Delft","13","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","152","Edusafe Surlinio CMS"
"Restaurant het Wolthuis","Judith Verdult","","info@restauranthetwolthuis.nl","","Wouwsestraatweg 146","4623 AS","Bergen op Zoom","7","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","90","Edusafe Surlinio CMS"
"Restaurant Tijsterman","","","","","","","","5","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","161","Edusafe Surlinio CMS"
"Revolt Climbing","Nathalie Brouwenstijn","","","","Kleveringweg 35","2616 LZ","Delft","14","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","91","Edusafe Surlinio CMS"
"RG interieur","Peter Korbijn","","info@rginterieur.nl","+31647957975","Wattstraat 19B","2723 RA","ZOETERMEER","0","Zakelijke Klant, Bedrijf, Edusafe Oud CMS, Lead / Geen Cursisten","25","Edusafe Surlinio CMS"
"Rhythm","","","","","","","","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","171","Edusafe Surlinio CMS"
"Scarlatti","Eva Heemskerk","","eva@scarlatti.nl","+31715122114","Stille Mare 4","2312 DH","Leiden","47","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","29","Edusafe Surlinio CMS"
"SCOH de Meerpaal","","","","","","","","9","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","162","Edusafe Surlinio CMS"
"Servier Nederland Farma B.V.","M.J. Horstman","","marie-jose.horstman@servier.com","+31715246700","Kanaalpark 140","2321 JV","Leiden","1","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","43","Edusafe Surlinio CMS"
"SG onderhoud","Stef Groenendijk","","","","Ambachtshof 34","2632 BB","Nootdorp","4","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","96","Edusafe Surlinio CMS"
"SimStudio","","","","","","","","2","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","140","Edusafe Surlinio CMS"
"Smaecktheater Paul","Paul Hoogendoorn","","paul.hoogendoorn@gmail.com","+31704447355","Simon Carmiggelthof 47","2492 JR","Den Haag","3","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","71","Edusafe Surlinio CMS"
"SpoedPCR test","Wahiba Boulakhrif","","","","","","","5","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","106","Edusafe Surlinio CMS"
"Sportfondsen","","","","","","","","105","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","146","Edusafe Surlinio CMS"
"Sportfondsen Delft","","","","","","","","11","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","197","Edusafe Surlinio CMS"
"Sportfondsen Oostervant","","","","","","","","30","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","154","Edusafe Surlinio CMS"
"Sportfondsen Wassenaar","","","","","","","Wassenaar","21","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","186","Edusafe Surlinio CMS"
"Sportstichting Zuidplas,","","","","","Iersestraat 15","2912 TH","Nieuwerkerk aan den IJssel","30","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","160","Edusafe Surlinio CMS"
"SRK rechtsbijstand","Gaby Kuipers","","gaby.kuipers@srkrechtsbijstand.nl","+31880188433","Oude Middenweg 17","2491 AC","Den Haag","16","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","51","Edusafe Surlinio CMS"
"Starcuisine","Francine van Limborgh","","f.vanlimborgh@starcuisine.nl","+31703628702","van Gijnstraat 25","2288 GB","Rijswijk (Z-H)","43","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","57","Edusafe Surlinio CMS"
"Stichting De Inzet","","","","","","","","9","Zakelijke Klant, Bedrijf, Edusafe Oud CMS","185","Edusafe Surlinio CMS"
